Position,Track Name,Artist,Streams,URL,Date,Region
1,Sensualidad,Bad Bunny,263037,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,08/12/2017,ar
2,Criminal,Natti Natasha,259624,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,08/12/2017,ar
3,CorazÃ³n,Maluma,233525,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,08/12/2017,ar
4,Ã‰chame La Culpa,Luis Fonsi,220963,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,08/12/2017,ar
5,Se PreparÃ³,Ozuna,205296,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,08/12/2017,ar
6,She Don't Give a FO (feat. Khea),Duki,188255,https://open.spotify.com/track/7ehmaSwhEZv4aaJzxsVMGY,08/12/2017,ar
7,Mayores,Becky G,183130,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,08/12/2017,ar
8,Me RehÃºso,Danny Ocean,174740,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,08/12/2017,ar
9,Perro Fiel,Shakira,169118,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,08/12/2017,ar
10,Que Va,Alex Sensation,162355,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,08/12/2017,ar
11,Loca,Cazzu,161979,https://open.spotify.com/track/0vnrhysrKKRdNYFKLAGzRc,08/12/2017,ar
12,Suena El Dembow,Joey Montana,158890,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,08/12/2017,ar
13,BÃ¡ilame - Remix,Nacho,150108,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,08/12/2017,ar
14,Vuelve,Daddy Yankee,140515,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,08/12/2017,ar
15,DÃ©jala Que Vuelva (feat. Manuel Turizo),Piso 21,135286,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,08/12/2017,ar
16,Bonita,J Balvin,123999,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,08/12/2017,ar
17,Hello Cotto,Duki,120984,https://open.spotify.com/track/1tkikMrqW4NvmzIfIyNXw7,08/12/2017,ar
18,Felices los 4,Maluma,120753,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,08/12/2017,ar
19,Robarte un Beso,Carlos Vives,119625,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,08/12/2017,ar
20,EscÃ¡pate Conmigo,Wisin,114671,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,08/12/2017,ar
21,Downtown,Anitta,105904,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,08/12/2017,ar
22,Mi Gente,J Balvin,104988,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,08/12/2017,ar
23,SUTRA,Sebastian Yatra,103643,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,08/12/2017,ar
24,Bella y Sensual,Romeo Santos,100794,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,08/12/2017,ar
25,ExplÃ­cale,Yandel,96095,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,08/12/2017,ar
26,Una Lady Como TÃº,Manuel Turizo,94261,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,08/12/2017,ar
27,Havana - Remix,Camila Cabello,93851,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,08/12/2017,ar
28,Loco Enamorado,Abraham Mateo,92847,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,08/12/2017,ar
29,3 A.M.,Jesse & Joy,91373,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,08/12/2017,ar
30,Ahora Dice,Chris Jeday,88577,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,08/12/2017,ar
31,Chambea,Bad Bunny,88444,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,08/12/2017,ar
32,El Farsante,Ozuna,88147,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,08/12/2017,ar
33,Rockstar,Duki,87065,https://open.spotify.com/track/1iidvirbvLhm05k83k4N64,08/12/2017,ar
34,New Rules,Dua Lipa,87045,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,08/12/2017,ar
35,Olha a ExplosÃ£o,MC Kevinho,86334,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,08/12/2017,ar
36,Havana,Camila Cabello,84084,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,08/12/2017,ar
37,Shape of You,Ed Sheeran,81779,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,08/12/2017,ar
38,TÃº Foto,Ozuna,81446,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,08/12/2017,ar
39,La Formula (feat. Chris Jeday),De La Ghetto,80649,https://open.spotify.com/track/4XCQtUoRSh22Ep18ULmDnT,08/12/2017,ar
40,Hey DJ,CNCO,80541,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,08/12/2017,ar
41,Como Antes,Yandel,79460,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5,08/12/2017,ar
42,Si TÃº La Ves,Nicky Jam,71899,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE,08/12/2017,ar
43,GPS,Maluma,70688,https://open.spotify.com/track/3t6j6WNv2OSn6qm5Vxynub,08/12/2017,ar
44,Despacito (Featuring Daddy Yankee),Luis Fonsi,68475,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,08/12/2017,ar
45,Mi Mala,Mau y Ricky,67695,https://open.spotify.com/track/4XP6qLtHI0n9UjIPTsuqe8,08/12/2017,ar
46,La Rompe Corazones,Daddy Yankee,63284,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,08/12/2017,ar
47,Una Lady Como TÃº - Remix,Manuel Turizo,63140,https://open.spotify.com/track/7MMRoGvm7uhoUVhGvHJ3yW,08/12/2017,ar
48,Condenado Para el Millon,Paulo Londra,62976,https://open.spotify.com/track/5UjhWsB5rddZEPlNUcGDLV,08/12/2017,ar
49,Otra Vez (feat. J Balvin),Zion & Lennox,60689,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,08/12/2017,ar
50,SÃ­guelo Bailando,Ozuna,59059,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,08/12/2017,ar
