"","Rank","Track","Artist","Streams","Date"
"1",1,"Sensualidad","Bad Bunny",263037,2017-08-12
"2",2,"Criminal","Natti Natasha",259624,2017-08-12
"3",3,"CorazÃ³n","Maluma",233525,2017-08-12
"4",4,"Ã‰chame La Culpa","Luis Fonsi",220963,2017-08-12
"5",5,"Se PreparÃ³","Ozuna",205296,2017-08-12
"6",6,"She Don't Give a FO (feat. Khea)","Duki",188255,2017-08-12
"7",7,"Mayores","Becky G",183130,2017-08-12
"8",8,"Me RehÃºso","Danny Ocean",174740,2017-08-12
"9",9,"Perro Fiel","Shakira",169118,2017-08-12
"10",10,"Que Va","Alex Sensation",162355,2017-08-12
"11",11,"Loca","Cazzu",161979,2017-08-12
"12",12,"Suena El Dembow","Joey Montana",158890,2017-08-12
"13",13,"BÃ¡ilame - Remix","Nacho",150108,2017-08-12
"14",14,"Vuelve","Daddy Yankee",140515,2017-08-12
"15",15,"DÃ©jala Que Vuelva (feat. Manuel Turizo)","Piso 21",135286,2017-08-12
"16",16,"Bonita","J Balvin",123999,2017-08-12
"17",17,"Hello Cotto","Duki",120984,2017-08-12
"18",18,"Felices los 4","Maluma",120753,2017-08-12
"19",19,"Robarte un Beso","Carlos Vives",119625,2017-08-12
"20",20,"EscÃ¡pate Conmigo","Wisin",114671,2017-08-12
"21",21,"Downtown","Anitta",105904,2017-08-12
"22",22,"Mi Gente","J Balvin",104988,2017-08-12
"23",23,"SUTRA","Sebastian Yatra",103643,2017-08-12
"24",24,"Bella y Sensual","Romeo Santos",100794,2017-08-12
"25",25,"ExplÃ­cale","Yandel",96095,2017-08-12
"26",26,"Una Lady Como TÃº","Manuel Turizo",94261,2017-08-12
"27",27,"Havana - Remix","Camila Cabello",93851,2017-08-12
"28",28,"Loco Enamorado","Abraham Mateo",92847,2017-08-12
"29",29,"3 A.M.","Jesse & Joy",91373,2017-08-12
"30",30,"Ahora Dice","Chris Jeday",88577,2017-08-12
"31",31,"Chambea","Bad Bunny",88444,2017-08-12
"32",32,"El Farsante","Ozuna",88147,2017-08-12
"33",33,"Rockstar","Duki",87065,2017-08-12
"34",34,"New Rules","Dua Lipa",87045,2017-08-12
"35",35,"Olha a ExplosÃ£o","MC Kevinho",86334,2017-08-12
"36",36,"Havana","Camila Cabello",84084,2017-08-12
"37",37,"Shape of You","Ed Sheeran",81779,2017-08-12
"38",38,"TÃº Foto","Ozuna",81446,2017-08-12
"39",39,"La Formula (feat. Chris Jeday)","De La Ghetto",80649,2017-08-12
"40",40,"Hey DJ","CNCO",80541,2017-08-12
"41",41,"Como Antes","Yandel",79460,2017-08-12
"42",42,"Si TÃº La Ves","Nicky Jam",71899,2017-08-12
"43",43,"GPS","Maluma",70688,2017-08-12
"44",44,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",68475,2017-08-12
"45",45,"Mi Mala","Mau y Ricky",67695,2017-08-12
"46",46,"La Rompe Corazones","Daddy Yankee",63284,2017-08-12
"47",47,"Una Lady Como TÃº - Remix","Manuel Turizo",63140,2017-08-12
"48",48,"Condenado Para el Millon","Paulo Londra",62976,2017-08-12
"49",49,"Otra Vez (feat. J Balvin)","Zion & Lennox",60689,2017-08-12
"50",50,"SÃ­guelo Bailando","Ozuna",59059,2017-08-12
"51",51,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",58772,2017-08-12
"52",52,"Bella","Wolfine",49343,2017-08-12
"53",53,"Krippy Kush","Farruko",45587,2017-08-12
"54",54,"Me Llamas (feat. Maluma) - Remix","Piso 21",44506,2017-08-12
"55",55,"Quiero Repetir","Ozuna",43843,2017-08-12
"56",56,"Sexto Sentido (feat. Bad Bunny)","Gigolo Y La Exce",41311,2017-08-12
"57",57,"Loca (feat. Cali Y El Dandee)","Maite Perroni",40079,2017-08-12
"58",58,"Cuando Se Pone a Bailar","Rombai",39895,2017-08-12
"59",59,"BesÃ¡ndote","Piso 21",39613,2017-08-12
"60",60,"El Amante","Nicky Jam",39104,2017-08-12
"61",61,"What Lovers Do (feat. SZA)","Maroon 5",38979,2017-08-12
"62",62,"Piel a Piel","Dame 5",38964,2017-08-12
"63",63,"Todo Comienza en la Disco","Wisin",38825,2017-08-12
"64",64,"Mamita","CNCO",38617,2017-08-12
"65",65,"Luna Llena","Paulo",37358,2017-08-12
"66",66,"Perfect","Ed Sheeran",36686,2017-08-12
"67",67,"Wolves","Selena Gomez",36395,2017-08-12
"68",68,"ReggaetÃ³n Lento (Bailemos)","CNCO",36243,2017-08-12
"69",69,"Sigo ExtraÃ±Ã¡ndote","J Balvin",36071,2017-08-12
"70",70,"B.U.H.O (feat. Duki & Klave)","Midel",36022,2017-08-12
"71",71,"Traicionera","Sebastian Yatra",35690,2017-08-12
"72",72,"Ahora Me Llama","Karol G",35468,2017-08-12
