"","Rank","Track","Artist","Streams","Date"
"1",1,"thank u, next","Ariana Grande",5905830,2018-12-08
"2",112,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",4132298,2018-12-08
"3",124,"All I Want for Christmas Is You","Mariah Carey",4058207,2018-12-08
"4",135,"Last Christmas","Wham!",3278118,2018-12-08
"5",146,"MIA (feat. Drake)","Bad Bunny",3153383,2018-12-08
"6",157,"Without Me","Halsey",2970595,2018-12-08
"7",168,"SICKO MODE","Travis Scott",2680409,2018-12-08
"8",179,"Happier","Marshmello",2664763,2018-12-08
"9",190,"BAD!","XXXTENTACION",2655305,2018-12-08
"10",2,"whoa (mind in awe)","XXXTENTACION",2611394,2018-12-08
"11",13,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",2510633,2018-12-08
"12",24,"It's Beginning To Look A Lot Like Christmas","Michael Bublé",2484178,2018-12-08
"13",35,"Santa Tell Me","Ariana Grande",2450308,2018-12-08
"14",46,"Adan y Eva","Paulo Londra",2432982,2018-12-08
"15",57,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2395320,2018-12-08
"16",68,"Jingle Bell Rock","BobHelms",2283899,2018-12-08
"17",79,"Rockin' Around The Christmas Tree","Brenda Lee",2186772,2018-12-08
"18",90,"Sweet but Psycho","Ava Max",2162356,2018-12-08
"19",101,"Shallow","Lady Gaga",2160373,2018-12-08
"20",113,"Going Bad (feat. Drake)","Meek Mill",2159262,2018-12-08
"21",115,"Mo Bamba","Sheck Wes",2147693,2018-12-08
"22",116,"Bohemian Rhapsody - Remastered 2011","Queen",2098579,2018-12-08
"23",117,"Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION",2052732,2018-12-08
"24",118,"It's the Most Wonderful Time of the Year","Andy Williams",2028219,2018-12-08
"25",119,"Do They Know It's Christmas? - 1984 Version","Band Aid",1996028,2018-12-08
"26",120,"SAD!","XXXTENTACION",1971969,2018-12-08
"27",121,"Guardian angel","XXXTENTACION",1940006,2018-12-08
"28",122,"Lucid Dreams","Juice WRLD",1921956,2018-12-08
"29",123,"Girls Like You (feat. Cardi B)","Maroon 5",1884123,2018-12-08
"30",125,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1864630,2018-12-08
"31",126,"Mistletoe","Justin Bieber",1840399,2018-12-08
"32",127,"In My Mind","Dynoro",1774790,2018-12-08
"33",128,"Eastside (with Halsey & Khalid)","benny blanco",1762365,2018-12-08
"34",129,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",1741617,2018-12-08
"35",130,"KIKA (feat. Tory Lanez)","6ix9ine",1741163,2018-12-08
"36",131,"Better Now","Post Malone",1730885,2018-12-08
"37",132,"when the party's over","Billie Eilish",1725210,2018-12-08
"38",133,"Moonlight","XXXTENTACION",1720305,2018-12-08
"39",134,"Better","Khalid",1687627,2018-12-08
"40",136,"I don’t let go","XXXTENTACION",1680028,2018-12-08
"41",137,"BEBE","6ix9ine",1662917,2018-12-08
"42",138,"Happy Xmas (War Is Over) - Remastered","John Lennon",1652384,2018-12-08
"43",139,"TIC TOC (feat. Lil Baby)","6ix9ine",1632495,2018-12-08
"44",140,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1609043,2018-12-08
"45",141,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",1546606,2018-12-08
"46",142,"Wake Up in the Sky","Gucci Mane",1545505,2018-12-08
"47",143,"God's Plan","Drake",1537787,2018-12-08
"48",144,"Calma - Remix","Pedro Capó",1534756,2018-12-08
"49",145,"One Minute (feat. Kanye West)","XXXTENTACION",1527731,2018-12-08
"50",147,"High Hopes","Panic! At The Disco",1500918,2018-12-08
"51",148,"Promises (with Sam Smith)","Calvin Harris",1496809,2018-12-08
"52",149,"Vaina Loca","Ozuna",1494271,2018-12-08
"53",150,"Train food","XXXTENTACION",1490731,2018-12-08
"54",151,"In My Feelings","Drake",1456927,2018-12-08
"55",152,"Be Alright","Dean Lewis",1454723,2018-12-08
"56",153,"Ella Quiere Beber - Remix","Anuel Aa",1441467,2018-12-08
"57",154,"I Like It","Cardi B",1439457,2018-12-08
"58",155,"what are you so afraid of","XXXTENTACION",1428825,2018-12-08
"59",156,"Driving Home For Christmas","Chris Rea",1426195,2018-12-08
"60",158,"White Christmas","Bing Crosby",1417048,2018-12-08
"61",159,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1385297,2018-12-08
"62",160,"Taste (feat. Offset)","Tyga",1372801,2018-12-08
"63",161,"rockstar (feat. 21 Savage)","Post Malone",1370512,2018-12-08
"64",162,"STARING AT THE SKY","XXXTENTACION",1362645,2018-12-08
"65",163,"Jocelyn Flores","XXXTENTACION",1351157,2018-12-08
"66",164,"Holly Jolly Christmas","Michael Bublé",1340576,2018-12-08
"67",165,"Youngblood","5 Seconds of Summer",1337900,2018-12-08
"68",166,"Bad Liar","Imagine Dragons",1323607,2018-12-08
"69",167,"Let You Love Me","Rita Ora",1322881,2018-12-08
"70",169,"Have Yourself A Merry Little Christmas","Sam Smith",1291128,2018-12-08
"71",170,"lovely - Bonus Track","Billie Eilish",1278266,2018-12-08
"72",171,"Leave Me Alone","Flipp Dinero",1277720,2018-12-08
"73",172,"Feliz Navidad","José Feliciano",1263788,2018-12-08
"74",173,"Cuando Te Besé","Becky G",1263315,2018-12-08
"75",174,"Falling Down - Bonus Track","Lil Peep",1260105,2018-12-08
"76",175,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1235448,2018-12-08
"77",176,"difference (interlude)","XXXTENTACION",1234427,2018-12-08
"78",177,"Another One Bites The Dust - Remastered 2011","Queen",1232068,2018-12-08
"79",178,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1229891,2018-12-08
"80",180,"A Holly Jolly Christmas - Single Version","Burl Ives",1229028,2018-12-08
"81",181,"Natural","Imagine Dragons",1218495,2018-12-08
"82",182,"no tears left to cry","Ariana Grande",1208566,2018-12-08
"83",183,"Te Boté - Remix","Nio Garcia",1171576,2018-12-08
"84",184,"Kiss and Make Up","Dua Lipa",1164810,2018-12-08
"85",185,"Adictiva","Daddy Yankee",1151664,2018-12-08
"86",186,"Sleigh Ride","The Ronettes",1146715,2018-12-08
"87",187,"One Kiss (with Dua Lipa)","Calvin Harris",1146006,2018-12-08
"88",188,"Ruin My Life","Zara Larsson",1142503,2018-12-08
"89",189,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",1134048,2018-12-08
"90",191,"I Love It (& Lil Pump)","Kanye West",1127674,2018-12-08
"91",192,"Nonstop","Drake",1126438,2018-12-08
"92",193,"Imposible","Luis Fonsi",1126137,2018-12-08
"93",194,"Woman Like Me (feat. Nicki Minaj)","Little Mix",1125330,2018-12-08
"94",195,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",1118763,2018-12-08
"95",196,"Psycho (feat. Ty Dolla $ign)","Post Malone",1118525,2018-12-08
"96",197,"Underneath the Tree","Kelly Clarkson",1114926,2018-12-08
"97",198,"MAMA (feat. Nicki Minaj, Kanye West)","6ix9ine",1104902,2018-12-08
"98",199,"Happy Now (feat. Sandro Cavazza)","Kygo",1099125,2018-12-08
"99",200,"Shape of You","Ed Sheeran",1096796,2018-12-08
"100",3,"Bubalu","Becky G",1089423,2018-12-08
"101",4,"Don't Stop Me Now - Remastered","Queen",1081170,2018-12-08
"102",5,"changes","XXXTENTACION",1077625,2018-12-08
"103",6,"breathin","Ariana Grande",1076052,2018-12-08
"104",7,"God is a woman","Ariana Grande",1074920,2018-12-08
"105",8,"Believer","Imagine Dragons",1061571,2018-12-08
"106",9,"come out and play","Billie Eilish",1057164,2018-12-08
"107",10,"Santa Claus Is Coming To Town","Michael Bublé",1046331,2018-12-08
"108",11,"IDGAF","Dua Lipa",1045769,2018-12-08
"109",12,"Love Someone","Lukas Graham",1024863,2018-12-08
"110",14,"Solo (feat. Demi Lovato)","Clean Bandit",1001059,2018-12-08
"111",15,"Merry Christmas Everyone - Remastered","Shakin' Stevens",998653,2018-12-08
"112",16,"Reggaeton","J Balvin",996454,2018-12-08
"113",17,"Lonesome Train","Stan Kenton",993159,2018-12-08
"114",18,"Havana","Camila Cabello",992129,2018-12-08
"115",19,"Body (feat. brando)","Loud Luxury",990010,2018-12-08
"116",20,"2002","Anne-Marie",987052,2018-12-08
"117",21,"Fuck Love (feat. Trippie Redd)","XXXTENTACION",981556,2018-12-08
"118",22,"Desconocidos","Mau y Ricky",978053,2018-12-08
"119",23,"Somebody To Love - Remastered 2011","Queen",972233,2018-12-08
"120",25,"Saturday Nights","Khalid",965646,2018-12-08
"121",26,"Under Pressure - Remastered","Queen",965532,2018-12-08
"122",27,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",965396,2018-12-08
"123",28,"Rise","Jonas Blue",962483,2018-12-08
"124",29,"Amigos Con Derechos","Reik",958655,2018-12-08
"125",30,"Armed And Dangerous","Juice WRLD",954810,2018-12-08
"126",31,"Blue Christmas","Elvis Presley",948955,2018-12-08
"127",32,"Shotgun","George Ezra",947865,2018-12-08
"128",33,"FRIENDS","Marshmello",947065,2018-12-08
"129",34,"Perfect","Ed Sheeran",944557,2018-12-08
"130",36,"Beautiful (feat. Camila Cabello)","Bazzi",935025,2018-12-08
"131",37,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",928230,2018-12-08
"132",38,"Christmas Lights","Coldplay",927991,2018-12-08
"133",39,"The Middle","Zedd",925767,2018-12-08
"134",40,"Culpables","Karol G",921765,2018-12-08
"135",41,"Ya No Tiene Novio","Sebastian Yatra",920800,2018-12-08
"136",42,"Mala Mía","Maluma",919309,2018-12-08
"137",43,"MALA (feat. Anuel Aa)","6ix9ine",914781,2018-12-08
"138",44,"New Rules","Dua Lipa",909416,2018-12-08
"139",45,"SOLO","JENNIE",903643,2018-12-08
"140",47,"Thunder","Imagine Dragons",891193,2018-12-08
"141",48,"Nice For What","Drake",889909,2018-12-08
